game_id,player_name,clutches,aces
30,artzin,0,0
30,mazin,1,0
30,rich,1,0
30,Palla,0,0
30,Asuna,0,0
30,Boostio,1,0
30,eeiu,0,0
30,bang,0,0
30,Cryocells,0,0
31,liazzi,0,0
31,artzin,1,0
31,mazin,1,0
31,rich,0,0
31,Palla,0,0
31,Asuna,0,0
31,Boostio,0,0
31,eeiu,3,0
31,bang,0,0
31,Cryocells,0,0
32,crashies,0,0
32,Victor,0,0
32,FiNESSE,0,0
32,s0m,1,0
32,Ethan,0,0
32,Melser,0,0
32,keznit,0,0
32,heat,1,0
32,Shyy,3,0
32,mta,1,0
33,crashies,1,0
33,Victor,0,0
33,FiNESSE,0,0
33,s0m,0,0
33,Ethan,0,0
33,Melser,0,0
33,keznit,0,0
33,heat,0,0
33,Shyy,0,0
33,mta,0,0
34,crashies,1,0
34,Victor,0,0
34,FiNESSE,2,0
34,s0m,0,0
34,Ethan,1,0
34,Melser,0,0
34,keznit,0,0
34,heat,0,0
34,Shyy,0,0
34,mta,0,0
35,valyn,1,0
35,JonahP,0,0
35,leaf,0,0
35,icy,0,0
35,trent,1,0
35,Melser,1,0
35,keznit,0,0
35,heat,1,0
35,Shyy,0,0
35,mta,0,0
36,valyn,1,0
36,JonahP,2,0
36,leaf,0,0
36,icy,0,0
36,trent,1,0
36,Melser,1,0
36,keznit,0,0
36,heat,0,0
36,Shyy,0,0
36,mta,0,0
37,valyn,1,0
37,JonahP,2,0
37,leaf,1,0
37,icy,0,0
37,trent,1,0
37,Melser,1,0
37,keznit,0,0
37,heat,0,0
37,Shyy,0,0
37,mta,0,0
38,pANcada,2,0
38,saadhak,0,0
38,tuyz,0,0
38,cauanzin,0,0
38,Less,0,0
38,C0M,0,0
38,tex,0,0
38,Mazino,0,0
38,aspas,0,0
38,kiNgg,0,0
39,pANcada,0,0
39,saadhak,0,0
39,tuyz,0,0
39,cauanzin,0,0
39,Less,0,0
39,C0M,1,0
39,tex,1,0
39,Mazino,0,0
