game_id,player_name,team_abrev,kills,deaths,assists,adr,fk,fd
14,Zellsis,SEN,13,11,15,97,0,0
14,TenZ,SEN,21,16,6,160,3,5
14,johnqt,SEN,15,14,8,133,0,1
14,Sacy,SEN,15,17,8,100,3,5
14,Melser,KRÜ,19,15,6,133,3,3
14,heat,KRÜ,19,17,5,148,2,1
14,keznit,KRÜ,19,20,6,169,6,1
14,Klaus,KRÜ,12,18,4,97,2,3
14,Shyy,KRÜ,9,16,2,77,1,2
15,TenZ,SEN,18,13,4,115,3,1
15,zekken,SEN,19,19,4,172,4,5
15,Sacy,SEN,15,13,4,146,2,1
15,Zellsis,SEN,12,12,7,96,1,1
15,johnqt,SEN,11,16,6,111,2,3
15,keznit,KRÜ,20,16,3,162,5,2
15,heat,KRÜ,16,15,8,120,1,3
15,Melser,KRÜ,15,13,7,110,2,1
15,Shyy,KRÜ,14,15,8,115,1,3
15,Klaus,KRÜ,8,16,7,88,2,3
16,saadhak,LOUD,19,11,14,182,2,1
16,tuyz,LOUD,20,13,5,176,3,3
16,Less,LOUD,16,11,4,122,3,1
16,pANcada,LOUD,16,11,5,142,1,1
16,cauanzin,LOUD,15,12,4,132,3,2
16,mazin,MIBR,14,14,3,133,0,0
16,liazzi,MIBR,13,16,11,117,1,2
16,rich,MIBR,12,20,1,141,3,2
16,artzin,MIBR,9,16,6,112,1,2
16,Palla,MIBR,10,20,3,96,3,6
17,cauanzin,LOUD,23,17,8,173,3,2
17,Less,LOUD,19,17,7,144,2,1
17,pANcada,LOUD,14,15,7,119,1,1
17,tuyz,LOUD,11,19,3,85,1,3
17,saadhak,LOUD,9,22,8,89,5,5
17,artzin,MIBR,20,15,7,169,3,5
17,rich,MIBR,22,16,5,164,1,1
17,mazin,MIBR,13,10,8,96,0,0
17,liazzi,MIBR,18,14,3,136,0,2
17,Palla,MIBR,17,21,3,167,8,4
18,tuyz,LOUD,21,10,1,145,1,2
18,Less,LOUD,21,14,4,172,2,1
18,cauanzin,LOUD,16,14,9,136,3,3
18,pANcada,LOUD,10,13,8,93,0,2
18,saadhak,LOUD,11,20,6,121,4,4
18,liazzi,MIBR,16,14,8,139,1,0
18,artzin,MIBR,18,17,3,144,3,3
18,mazin,MIBR,9,15,7,90,1,1
18,Palla,MIBR,18,18,3,146,6,4
18,rich,MIBR,10,15,3,95,1,2
19,aspas,LEV,23,16,1,160,7,4
19,kiNgg,LEV,18,13,7,159,3,2
19,tex,LEV,17,15,11,130,1,2
19,Mazino,LEV,17,15,9,144,0,0
19,C0M,LEV,10,13,16,64,2,2
19,Boostio,100T,20,17,6,164,1,1
19,eeiu,100T,13,13,15,101,0,0
19,Asuna,100T,17,20,7,153,5,3
19,Cryocells,100T,13,19,9,121,1,3
19,bang,100T,9,16,1,68,3,6
20,kiNgg,LEV,16,8,10,164,1,1
20,aspas,LEV,19,10,3,186,6,2
20,Mazino,LEV,17,9,9,168,1,0
20,tex,LEV,12,11,2,115,1,1
20,C0M,LEV,6,10,9,85,3,1
20,Asuna,100T,10,13,10,133,1,1
20,eeiu,100T,13,13,4,134,1,1
20,bang,100T,11,15,10,128,0,3
20,Boostio,100T,7,15,4,92,2,3
20,Cryocells,100T,7,14,2,90,1,4
21,Ethan,NRG,18,18,4,182,4,2
21,s0m,NRG,13,16,10,149,0,2
21,crashies,NRG,9,12,6,79,1,1
21,Victor,NRG,13,17,6,119,3,4
21,FiNESSE,NRG,4,18,4,44,1,2
21,leaf,G2,25,9,6,205,5,1
21,trent,G2,21,14,9,196,1,2
21,icy,G2,14,10,4,142,3,2
21,valyn,G2,12,10,9,96,1,2
21,JonahP,G2,9,14,8,92,1,2
22,Ethan,NRG,19,14,7,143,3,1
22,crashies,NRG,12,11,8,127,0,0
22,s0m,NRG,13,16,10,115,3,2
22,Victor,NRG,14,15,4,142,1,7
22,FiNESSE,NRG,9,20,6,96,2,2
22,JonahP,G2,16,11,13,134,1,1
22,trent,G2,17,16,7,160,4,2
22,valyn,G2,13,13,9,135,1,0
22,leaf,G2,15,14,3,141,3,3
22,icy,G2,15,13,1,126,3,3
23,zekken,SEN,19,10,3,169,7,1
23,Zellsis,SEN,13,7,10,118,0,1
23,TenZ,SEN,13,9,8,130,1,1
23,johnqt,SEN,15,11,2,128,3,1
23,Sacy,SEN,8,9,9,92,1,2
23,moose,C9,8,11,2,77,0,1
23,Xeppaa,C9,10,13,7,117,2,1
23,runi,C9,10,14,10,92,0,1
23,OXY,C9,12,16,2,128,2,6
23,vanity,C9,6,14,4,65,2,3
24,Zellsis,SEN,18,11,4,152,0,2
24,zekken,SEN,21,14,3,192,9,4
24,johnqt,SEN,11,10,3,89,0,0
24,Sacy,SEN,10,12,10,104,1,3
24,TenZ,SEN,11,14,9,127,1,2
24,Xeppaa,C9,17,13,8,147,3,1
24,vanity,C9,15,14,6,141,2,4
24,moose,C9,11,13,3,86,2,2
24,runi,C9,10,15,5,104,1,1
24,OXY,C9,6,16,5,77,2,2
25,Apoth,EG,12,14,1,121,2,2
25,jawgemo,EG,10,16,7,114,1,2
25,supamen,EG,9,20,2,104,3,4
25,Derrek,EG,6,14,2,71,0,2
25,NaturE,EG,6,17,0,61,0,2
25,aspas,LEV,23,8,2,222,5,1
25,Mazino,LEV,21,10,7,196,4,3
25,kiNgg,LEV,16,7,8,169,1,0
25,C0M,LEV,14,8,4,156,0,1
25,tex,LEV,7,10,3,79,2,1
26,Derrek,EG,23,16,5,192,1,2
26,supamen,EG,19,19,4,156,4,5
26,NaturE,EG,12,15,13,95,0,0
26,jawgemo,EG,16,19,9,135,1,4
26,Apoth,EG,10,19,9,120,2,4
26,aspas,LEV,25,17,5,200,4,2
26,Mazino,LEV,20,14,11,134,3,1
26,kiNgg,LEV,17,12,13,130,2,1
26,C0M,LEV,11,17,10,121,2,2
26,tex,LEV,15,20,8,112,4,2
27,pANcada,LOUD,28,13,5,208,2,3
27,cauanzin,LOUD,20,18,6,155,5,1
27,saadhak,LOUD,15,16,5,137,3,7
27,tuyz,LOUD,13,15,11,99,0,1
27,Less,LOUD,13,17,2,116,1,1
27,mwzera,FUR,25,19,7,184,5,2
27,Khalil,FUR,18,16,7,141,2,2
27,havoc,FUR,15,18,3,134,2,2
27,nzr,FUR,12,16,4,105,0,0
27,xand,FUR,9,20,9,82,4,5
28,cauanzin,LOUD,24,16,3,160,1,2
28,pANcada,LOUD,20,17,4,163,4,1
28,Less,LOUD,18,19,6,175,4,2
28,tuyz,LOUD,11,17,5,105,1,3
28,saadhak,LOUD,9,19,12,96,1,4
28,havoc,FUR,22,15,5,198,4,4
28,nzr,FUR,22,16,8,181,1,0
28,Khalil,FUR,12,14,8,100,1,0
28,xand,FUR,15,16,7,100,2,4
28,mwzera,FUR,17,21,3,137,4,3
29,saadhak,LOUD,12,18,8,152,3,3
29,Less,LOUD,13,15,3,102,2,2
29,tuyz,LOUD,18,17,9,137,2,2
29,pANcada,LOUD,10,16,10,87,0,1
29,cauanzin,LOUD,10,18,1,95,4,3
29,mwzera,FUR,29,12,6,251,4,2
29,Khalil,FUR,20,10,12,153,2,3
29,havoc,FUR,17,14,6,146,5,2
29,nzr,FUR,8,13,15,100,0,3
29,xand,FUR,10,14,9,66,0,1
30,rich,MIBR,17,13,2,178,3,0
30,Palla,MIBR,14,16,1,141,4,3
30,mazin,MIBR,7,14,6,95,1,3
30,liazzi,MIBR,6,16,5,70,1,0
30,artzin,MIBR,5,17,2,69,1,2
30,Boostio,100T,20,9,2,209,2,3
30,eeiu,100T,17,9,3,183,1,0
30,Asuna,100T,12,8,9,124,1,2
30,bang,100T,12,11,2,116,3,1
30,Cryocells,100T,15,12,1,126,1,4
31,Palla,MIBR,15,16,5,155,4,4
31,artzin,MIBR,12,16,8,111,1,0
31,liazzi,MIBR,13,16,4,129,3,4
31,mazin,MIBR,7,14,6,79,0,2
31,rich,MIBR,7,16,3,65,1,0
31,eeiu,100T,26,5,6,201,2,0
31,bang,100T,15,13,10,154,4,4
31,Boostio,100T,13,12,16,133,1,0
31,Asuna,100T,12,12,6,117,3,4
31,Cryocells,100T,12,13,8,123,0,1
32,Ethan,NRG,25,16,4,193,6,1
32,s0m,NRG,18,17,8,146,2,1
32,Victor,NRG,18,16,4,140,3,6
32,crashies,NRG,12,14,8,103,0,2
32,FiNESSE,NRG,7,14,3,73,0,0
32,Melser,KRÜ,20,17,11,187,2,1
32,Shyy,KRÜ,16,14,9,116,1,2
32,heat,KRÜ,16,17,6,141,3,2
32,keznit,KRÜ,17,17,8,174,3,4
32,mta,KRÜ,8,15,4,67,1,2
33,s0m,NRG,22,11,10,183,1,0
33,FiNESSE,NRG,18,12,6,162,2,1
33,crashies,NRG,14,12,3,139,1,0
33,Victor,NRG,16,15,2,137,5,5
33,Ethan,NRG,14,17,10,131,5,1
33,Shyy,KRÜ,15,15,5,136,0,0
33,Melser,KRÜ,16,16,4,127,3,3
33,heat,KRÜ,15,18,6,143,0,4
33,mta,KRÜ,11,17,5,108,1,0
33,keznit,KRÜ,10,18,2,85,3,7
34,crashies,NRG,19,11,9,181,3,0
34,s0m,NRG,14,12,9,125,3,0
34,Victor,NRG,18,15,1,169,7,3
34,Ethan,NRG,11,12,11,100,0,1
34,FiNESSE,NRG,12,13,5,102,2,1
34,keznit,KRÜ,20,14,5,187,3,3
34,heat,KRÜ,15,15,11,128,1,5
34,Shyy,KRÜ,13,14,2,137,0,1
34,Melser,KRÜ,9,15,0,86,1,3
34,mta,KRÜ,6,17,4,59,0,3
35,valyn,G2,11,15,6,112,1,2
35,JonahP,G2,8,14,2,90,3,2
35,icy,G2,10,16,2,122,3,4
35,leaf,G2,9,16,4,124,0,1
35,trent,G2,7,15,3,76,0,1
35,keznit,KRÜ,24,9,2,249,4,0
35,Melser,KRÜ,17,8,6,173,2,5
35,heat,KRÜ,13,9,9,118,1,1
35,mta,KRÜ,10,9,7,108,3,0
35,Shyy,KRÜ,12,10,1,119,0,1
36,JonahP,G2,27,20,20,132,3,2
36,trent,G2,22,21,15,157,1,5
36,leaf,G2,22,25,6,157,4,5
36,valyn,G2,16,22,12,114,2,2
36,icy,G2,23,24,7,148,2,4
36,keznit,KRÜ,29,21,7,163,7,1
36,Melser,KRÜ,23,21,11,145,3,2
36,heat,KRÜ,19,20,15,113,4,3
36,Shyy,KRÜ,27,24,3,157,2,3
36,mta,KRÜ,14,24,15,112,2,3
37,JonahP,G2,15,10,7,143,3,0
37,valyn,G2,20,13,4,190,2,1
37,icy,G2,16,12,4,151,1,5
37,trent,G2,11,11,7,103,0,1
37,leaf,G2,11,13,7,137,3,2
37,Shyy,KRÜ,15,12,4,174,1,2
