series_id,home_team,away_team,home_round_difference,away_round_difference,total_maps
1,MIBR,LEV,-10,10,2
2,SEN,NRG,7,-7,2
3,FUR,100T,4,-4,2
4,LOUD,EG,-3,3,3
5,G2,C9,-1,1,3
6,EG,FUR,17,-17,2
7,SEN,KRÜ,5,-5,2
8,LOUD,MIBR,8,-8,3
9,LEV,100T,12,-12,2
10,NRG,G2,-11,11,2
11,SEN,C9,13,-13,2
12,EG,LEV,-11,11,2
13,LOUD,FUR,-5,5,3
14,MIBR,100T,-15,15,2
15,NRG,KRÜ,6,-6,3
16,G2,KRÜ,1,-1,3
17,LOUD,LEV,-9,9,2
18,MIBR,FUR,-9,9,2
19,NRG,C9,5,-5,3
20,EG,100T,-6,6,3
