game_id,player_name,agent
28,mwzera,Jett
29,saadhak,Neon
29,Less,Omen
29,tuyz,Gekko
29,pANcada,Brimstone
29,cauanzin,Skye
29,mwzera,Raze
29,Khalil,Brimstone
29,havoc,Viper
29,nzr,Skye
29,xand,Sage
30,rich,Sova
30,Palla,Jett
30,mazin,Viper
30,liazzi,Gekko
30,artzin,Killjoy
30,Boostio,Killjoy
30,eeiu,Sova
30,Asuna,Gekko
30,bang,Viper
30,Cryocells,Jett
31,Palla,Jett
31,artzin,Viper
31,liazzi,Raze
31,mazin,Omen
31,rich,Skye
31,eeiu,Fade
31,bang,Viper
31,Boostio,Breach
31,Asuna,Raze
31,Cryocells,Astra
32,Ethan,Yoru
32,s0m,Omen
32,Victor,Neon
32,crashies,Breach
32,FiNESSE,Cypher
32,Melser,Omen
32,Shyy,Viper
32,heat,Skye
32,keznit,Raze
32,mta,Cypher
33,s0m,Omen
33,FiNESSE,Cypher
33,crashies,Sova
33,Victor,Jett
33,Ethan,Kayo
33,Shyy,Killjoy
33,Melser,Omen
33,heat,Kayo
33,mta,Sova
33,keznit,Jett
34,crashies,Fade
34,s0m,Omen
34,Victor,Neon
34,Ethan,Breach
34,FiNESSE,Cypher
34,keznit,Raze
34,heat,Kayo
34,Shyy,Cypher
34,Melser,Omen
34,mta,Sova
35,valyn,Omen
35,JonahP,Viper
35,icy,Raze
35,leaf,Killjoy
35,trent,Fade
35,keznit,Raze
35,Melser,Omen
35,heat,Fade
35,mta,Viper
35,Shyy,Killjoy
36,JonahP,Kayo
36,trent,Sova
36,leaf,Killjoy
36,valyn,Omen
36,icy,Jett
36,keznit,Jett
36,Melser,Omen
36,heat,Kayo
36,Shyy,Killjoy
36,mta,Sova
37,JonahP,Breach
37,valyn,Omen
37,icy,Raze
37,trent,Fade
37,leaf,Viper
37,Shyy,Viper
37,Melser,Omen
37,keznit,Raze
37,mta,Cypher
37,heat,Skye
38,pANcada,Omen
38,Less,Cypher
38,cauanzin,Fade
38,tuyz,Raze
38,saadhak,Breach
38,C0M,Fade
38,tex,Cypher
38,kiNgg,Omen
38,Mazino,Breach
38,aspas,Neon
39,cauanzin,Sova
39,tuyz,Harbor
39,Less,Killjoy
39,saadhak,Kayo
39,pANcada,Omen
39,aspas,Jett
39,tex,Killjoy
39,kiNgg,Viper
39,Mazino,Harbor
39,C0M,Sova
40,artzin,Cypher
40,liazzi,Breach
40,rich,Gekko
40,Palla,Raze
40,mazin,Omen
40,Khalil,Omen
40,havoc,Cypher
40,xand,Kayo
40,mwzera,Jett
40,nzr,Sova
41,artzin,Killjoy
41,rich,Sova
41,Palla,Jett
41,mazin,Viper
41,liazzi,Gekko
41,Khalil,Viper
41,mwzera,Jett
41,nzr,Sova
41,havoc,Killjoy
41,xand,Sage
42,Ethan,Kayo
42,Victor,Jett
42,s0m,Omen
42,FiNESSE,Cypher
42,crashies,Sova
42,Xeppaa,Kayo
42,runi,Sova
42,vanity,Omen
42,moose,Killjoy
42,OXY,Jett
43,s0m,Viper
43,FiNESSE,Killjoy
43,Ethan,Kayo
43,crashies,Sova
43,Victor,Jett
43,OXY,Reyna
43,vanity,Viper
43,moose,Killjoy
43,Xeppaa,Gekko
43,runi,Sova
44,s0m,Omen
44,Ethan,Breach
44,FiNESSE,Cypher
44,Victor,Neon
44,crashies,Fade
44,vanity,Omen
44,OXY,Raze
44,moose,Cypher
44,runi,Clove
44,Xeppaa,Skye
45,Derrek,Fade
45,jawgemo,Neon
45,supamen,Omen
45,NaturE,Breach
45,Apoth,Cypher
45,eeiu,Fade
45,Asuna,Raze
45,Boostio,Killjoy
45,bang,Viper
45,Cryocells,Omen
46,NaturE,Skye
46,supamen,Omen
46,Derrek,Gekko
46,Apoth,Brimstone
46,jawgemo,Raze
46,eeiu,Fade
46,bang,Viper
46,Cryocells,Brimstone
46,Asuna,Raze
46,Boostio,Gekko
47,Derrek,Sova
47,supamen,Omen
47,NaturE,Kayo
47,Apoth,Cypher
47,jawgemo,Jett
47,Cryocells,Jett
47,eeiu,Sova
47,Asuna,Kayo
47,bang,Omen
47,Boostio,Killjoy
48,Xeppaa,Unknown Agent
48,vanity,Unknown Agent
48,OXY,Unknown Agent
48,runi,Unknown Agent
48,moose,Unknown Agent
48,Melser,Unknown Agent
48,keznit,Unknown Agent
48,mta,Unknown Agent
48,Shyy,Unknown Agent
48,heat,Unknown Agent
49,Xeppaa,Unknown Agent
49,vanity,Unknown Agent
49,OXY,Unknown Agent
49,runi,Unknown Agent
49,moose,Unknown Agent
49,Melser,Unknown Agent
49,keznit,Unknown Agent
49,mta,Unknown Agent
49,Shyy,Unknown Agent
49,heat,Unknown Agent
50,Xeppaa,Unknown Agent
50,vanity,Unknown Agent
50,OXY,Unknown Agent
50,runi,Unknown Agent
50,moose,Unknown Agent
50,Melser,Unknown Agent
50,keznit,Unknown Agent
50,mta,Unknown Agent
50,Shyy,Unknown Agent
50,heat,Unknown Agent
51,jawgemo,Unknown Agent
51,Derrek,Unknown Agent
51,NaturE,Unknown Agent
51,supamen,Unknown Agent
51,Apoth,Unknown Agent
51,mazin,Unknown Agent
51,artzin,Unknown Agent
51,Palla,Unknown Agent
51,rich,Unknown Agent
51,liazzi,Unknown Agent
52,jawgemo,Unknown Agent
52,Derrek,Unknown Agent
52,NaturE,Unknown Agent
52,supamen,Unknown Agent
52,Apoth,Unknown Agent
52,mazin,Unknown Agent
52,artzin,Unknown Agent
52,Palla,Unknown Agent
52,rich,Unknown Agent
52,liazzi,Unknown Agent
53,jawgemo,Unknown Agent
53,Derrek,Unknown Agent
53,NaturE,Unknown Agent
53,supamen,Unknown Agent
53,Apoth,Unknown Agent
53,mazin,Unknown Agent
53,artzin,Unknown Agent
53,Palla,Unknown Agent
53,rich,Unknown Agent
53,liazzi,Unknown Agent
54,kiNgg,Unknown Agent
54,Mazino,Unknown Agent
54,aspas,Unknown Agent
54,tex,Unknown Agent
54,C0M,Unknown Agent
54,Khalil,Unknown Agent
54,mwzera,Unknown Agent
54,havoc,Unknown Agent
54,nzr,Unknown Agent
54,xand,Unknown Agent
55,kiNgg,Unknown Agent
55,Mazino,Unknown Agent
55,aspas,Unknown Agent
55,tex,Unknown Agent
55,C0M,Unknown Agent
55,Khalil,Unknown Agent
55,mwzera,Unknown Agent
55,havoc,Unknown Agent
55,nzr,Unknown Agent
55,xand,Unknown Agent
56,kiNgg,Unknown Agent
56,Mazino,Unknown Agent
56,aspas,Unknown Agent
56,tex,Unknown Agent
56,C0M,Unknown Agent
56,Khalil,Unknown Agent
56,mwzera,Unknown Agent
56,havoc,Unknown Agent
56,nzr,Unknown Agent
56,xand,Unknown Agent
57,saadhak,Unknown Agent
57,Less,Unknown Agent
57,tuyz,Unknown Agent
57,cauanzin,Unknown Agent
57,pANcada,Unknown Agent
57,Asuna,Unknown Agent
57,bang,Unknown Agent
57,Cryocells,Unknown Agent
57,eeiu,Unknown Agent
57,Boostio,Unknown Agent
58,saadhak,Unknown Agent
58,Less,Unknown Agent
58,tuyz,Unknown Agent
58,cauanzin,Unknown Agent
58,pANcada,Unknown Agent
58,Asuna,Unknown Agent
58,bang,Unknown Agent
58,Cryocells,Unknown Agent
58,eeiu,Unknown Agent
58,Boostio,Unknown Agent
59,saadhak,Unknown Agent
59,Less,Unknown Agent
59,tuyz,Unknown Agent
59,cauanzin,Unknown Agent
59,pANcada,Unknown Agent
59,Asuna,Unknown Agent
59,bang,Unknown Agent
59,Cryocells,Unknown Agent
59,eeiu,Unknown Agent
59,Boostio,Unknown Agent
60,TenZ,Unknown Agent
60,zekken,Unknown Agent
60,Sacy,Unknown Agent
60,johnqt,Unknown Agent
60,Zellsis,Unknown Agent
60,trent,Unknown Agent
60,valyn,Unknown Agent
60,JonahP,Unknown Agent
60,leaf,Unknown Agent
60,icy,Unknown Agent
61,TenZ,Unknown Agent
61,zekken,Unknown Agent
61,Sacy,Unknown Agent
61,johnqt,Unknown Agent
61,Zellsis,Unknown Agent
61,trent,Unknown Agent
61,valyn,Unknown Agent
61,JonahP,Unknown Agent
61,leaf,Unknown Agent
61,icy,Unknown Agent
62,TenZ,Unknown Agent
62,zekken,Unknown Agent
62,Sacy,Unknown Agent
62,johnqt,Unknown Agent
62,Zellsis,Unknown Agent
62,trent,Unknown Agent
62,valyn,Unknown Agent
62,JonahP,Unknown Agent
62,leaf,Unknown Agent
62,icy,Unknown Agent
