player_name,game_id,kills,deaths,assists,adr,fk,fd,clutches,aces
rich,41,16.0,19.0,7.0,120.0,2.0,3.0,0,0
Palla,41,12.0,19.0,5.0,136.0,3.0,6.0,0,0
mazin,41,9.0,19.0,2.0,80.0,3.0,0.0,1,0
Khalil,41,23.0,14.0,10.0,172.0,2.0,0.0,0,0
havoc,41,23.0,14.0,5.0,184.0,4.0,3.0,0,0
xand,41,18.0,17.0,19.0,142.0,4.0,1.0,0,0
mwzera,41,19.0,18.0,8.0,167.0,3.0,5.0,0,0
nzr,41,7.0,13.0,6.0,76.0,0.0,1.0,1,0
artzin,42,18.0,15.0,3.0,159.0,4.0,1.0,1,0
rich,42,15.0,17.0,6.0,139.0,2.0,4.0,1,0
Palla,42,15.0,17.0,0.0,117.0,2.0,3.0,1,0
mazin,42,8.0,15.0,5.0,84.0,1.0,1.0,0,0
liazzi,42,6.0,17.0,2.0,67.0,0.0,2.0,0,0
Khalil,42,24.0,12.0,6.0,215.0,2.0,1.0,0,0
mwzera,42,19.0,12.0,2.0,161.0,5.0,0.0,0,0
nzr,42,16.0,13.0,4.0,151.0,1.0,1.0,0,0
havoc,42,12.0,12.0,5.0,129.0,3.0,4.0,1,0
xand,42,10.0,13.0,3.0,90.0,0.0,3.0,0,0
Ethan,43,15.0,7.0,10.0,132.0,0.0,1.0,0,0
Victor,43,14.0,8.0,2.0,159.0,3.0,4.0,0,0
s0m,43,14.0,7.0,7.0,149.0,2.0,1.0,0,0
FiNESSE,43,13.0,10.0,4.0,109.0,2.0,0.0,0,0
crashies,43,8.0,9.0,4.0,118.0,2.0,1.0,0,0
Xeppaa,43,9.0,14.0,8.0,162.0,1.0,1.0,0,0
runi,43,8.0,11.0,1.0,83.0,0.0,1.0,0,0
vanity,43,10.0,14.0,3.0,134.0,2.0,3.0,0,0
moose,43,6.0,10.0,1.0,68.0,2.0,0.0,0,0
OXY,43,8.0,15.0,3.0,106.0,2.0,4.0,0,0
s0m,44,18.0,15.0,6.0,145.0,1.0,3.0,1,0
FiNESSE,44,17.0,17.0,12.0,161.0,0.0,0.0,0,0
Ethan,44,14.0,18.0,13.0,135.0,1.0,1.0,1,0
crashies,44,13.0,17.0,8.0,113.0,1.0,3.0,0,0
Victor,44,16.0,21.0,3.0,121.0,8.0,5.0,0,0
OXY,44,33.0,17.0,4.0,234.0,7.0,2.0,0,0
vanity,44,18.0,13.0,8.0,133.0,3.0,4.0,2,0
moose,44,13.0,16.0,4.0,128.0,1.0,1.0,1,0
Xeppaa,44,16.0,15.0,5.0,120.0,1.0,4.0,1,0
runi,44,8.0,17.0,9.0,85.0,0.0,0.0,0,0
s0m,45,24.0,18.0,16.0,160.0,4.0,1.0,0,0
Ethan,45,16.0,16.0,10.0,118.0,1.0,2.0,1,0
FiNESSE,45,15.0,21.0,12.0,120.0,5.0,2.0,0,0
Victor,45,18.0,17.0,5.0,119.0,4.0,4.0,0,0
crashies,45,16.0,16.0,10.0,101.0,0.0,3.0,0,0
vanity,45,21.0,19.0,9.0,164.0,3.0,3.0,0,0
OXY,45,23.0,20.0,3.0,165.0,4.0,4.0,0,0
moose,45,17.0,15.0,5.0,117.0,3.0,1.0,1,0
runi,45,21.0,19.0,6.0,133.0,2.0,4.0,0,0
Xeppaa,45,6.0,16.0,9.0,57.0,0.0,2.0,0,0
Derrek,46,15.0,18.0,10.0,118.0,0.0,1.0,0,0
jawgemo,46,20.0,19.0,7.0,156.0,5.0,7.0,0,0
supamen,46,19.0,16.0,6.0,129.0,1.0,2.0,0,0
NaturE,46,12.0,17.0,8.0,91.0,1.0,2.0,0,0
Apoth,46,11.0,16.0,4.0,104.0,1.0,3.0,2,0
eeiu,46,20.0,15.0,10.0,159.0,1.0,0.0,1,0
Asuna,46,20.0,16.0,10.0,173.0,5.0,2.0,1,0
Boostio,46,16.0,17.0,4.0,132.0,2.0,2.0,0,0
bang,46,12.0,14.0,6.0,116.0,2.0,3.0,0,0
Cryocells,46,18.0,15.0,5.0,109.0,5.0,1.0,0,0
NaturE,47,19.0,16.0,11.0,143.0,2.0,3.0,1,0
supamen,47,19.0,14.0,6.0,149.0,2.0,1.0,0,0
Derrek,47,14.0,14.0,9.0,109.0,2.0,1.0,0,0
Apoth,47,17.0,17.0,13.0,125.0,3.0,1.0,1,0
jawgemo,47,15.0,19.0,4.0,145.0,4.0,4.0,0,0
eeiu,47,18.0,17.0,15.0,165.0,1.0,0.0,0,0
bang,47,24.0,17.0,8.0,164.0,1.0,5.0,0,0
Cryocells,47,13.0,15.0,9.0,93.0,0.0,1.0,2,0
Asuna,47,14.0,17.0,5.0,110.0,6.0,7.0,0,0
Boostio,47,11.0,18.0,14.0,87.0,2.0,0.0,0,0
Derrek,48,20.0,14.0,5.0,155.0,2.0,0.0,1,0
supamen,48,15.0,16.0,7.0,130.0,2.0,3.0,0,0
NaturE,48,15.0,18.0,8.0,136.0,2.0,1.0,0,0
Apoth,48,6.0,17.0,2.0,105.0,1.0,4.0,0,0
jawgemo,48,6.0,19.0,5.0,97.0,0.0,5.0,0,0
Cryocells,48,25.0,13.0,1.0,199.0,7.0,2.0,0,0
eeiu,48,19.0,9.0,5.0,161.0,2.0,1.0,0,0
Asuna,48,14.0,13.0,24.0,132.0,2.0,1.0,1,0
bang,48,14.0,12.0,12.0,137.0,1.0,1.0,0,0
Boostio,48,12.0,15.0,6.0,138.0,1.0,2.0,0,0
