player_id,series_id,game_id,agent,agent_role,kills,deaths,assists,fk,fd,clutches,aces,adr,points
3,3,6,Killjoy,Sentinel,21.0,21.0,9.0,1.0,2.0,1,0,148.0,31.8
31,3,6,Sova,Initiator,17.0,19.0,13.0,2.0,1.0,0,0,141.0,31.1
28,3,6,Omen,Controller,20.0,21.0,12.0,4.0,3.0,0,0,109.0,31.4
5,3,6,Jett,Duelist,23.0,26.0,8.0,8.0,2.0,0,0,153.0,43.3
12,4,7,Cypher,Sentinel,20.0,9.0,6.0,2.0,1.0,1,0,170.0,40.5
50,4,7,Neon,Duelist,20.0,15.0,7.0,3.0,4.0,0,0,188.0,36.8
29,4,7,Fade,Initiator,17.0,13.0,8.0,0.0,4.0,0,0,146.0,25.1
54,4,7,Gekko,Initiator,14.0,12.0,5.0,0.0,2.0,0,0,119.0,20.4
46,4,7,Omen,Controller,11.0,11.0,9.0,2.0,2.0,0,0,76.0,19.6
35,4,7,Iso,Duelist,19.0,18.0,7.0,8.0,1.0,0,0,207.0,49.2
51,4,7,Omen,Controller,20.0,16.0,4.0,1.0,2.0,0,0,165.0,30.5
15,4,7,Breach,Initiator,6.0,14.0,7.0,1.0,1.0,1,0,63.0,11.8
6,4,7,Fade,Initiator,7.0,16.0,7.0,1.0,0.0,0,0,65.0,11.0
1,4,7,Cypher,Sentinel,8.0,18.0,1.0,2.0,3.0,0,0,90.0,9.5
46,4,8,Omen,Controller,12.0,13.0,9.0,1.0,3.0,0,0,126.0,21.6
12,4,8,Cypher,Sentinel,14.0,12.0,2.0,1.0,1.0,0,0,137.0,23.700000000000003
29,4,8,Breach,Initiator,14.0,15.0,8.0,1.0,1.0,0,0,159.0,27.4
50,4,8,Neon,Duelist,11.0,16.0,5.0,2.0,5.0,0,0,135.0,18.0
54,4,8,Gekko,Initiator,9.0,15.0,3.0,2.0,2.0,0,0,103.0,15.3
35,4,8,Neon,Duelist,22.0,14.0,5.0,8.0,1.0,0,0,206.0,53.1
6,4,8,Fade,Initiator,15.0,10.0,8.0,1.0,0.0,0,0,126.0,28.6
1,4,8,Cypher,Sentinel,15.0,13.0,4.0,2.0,1.0,0,0,140.0,27.5
15,4,8,Breach,Initiator,9.0,12.0,12.0,1.0,2.0,0,0,101.0,19.1
51,4,8,Omen,Controller,10.0,11.0,10.0,0.0,3.0,3,0,82.0,20.700000000000003
54,4,9,Omen,Controller,22.0,15.0,6.0,2.0,1.0,0,0,172.0,37.7
29,4,9,Kayo,Unknown,21.0,17.0,7.0,4.0,2.0,0,0,179.0,39.900000000000006
12,4,9,Killjoy,Sentinel,17.0,15.0,5.0,1.0,3.0,0,0,122.0,23.200000000000003
50,4,9,Gekko,Initiator,15.0,17.0,6.0,3.0,4.0,0,0,114.0,22.9
46,4,9,Viper,Controller,12.0,14.0,6.0,1.0,3.0,0,0,114.0,18.4
6,4,9,Sova,Initiator,20.0,15.0,8.0,1.0,0.0,0,0,160.0,34.5
35,4,9,Iso,Duelist,17.0,17.0,3.0,5.0,1.0,0,0,129.0,31.9
15,4,9,Killjoy,Sentinel,13.0,16.0,5.0,4.0,1.0,1,0,118.0,28.3
51,4,9,Clove,Controller,20.0,21.0,2.0,2.0,7.0,1,0,129.0,22.4
1,4,9,Harbor,Controller,8.0,18.0,7.0,1.0,2.0,0,0,74.0,9.9
39,5,10,Killjoy,Sentinel,18.0,16.0,8.0,2.0,1.0,0,0,147.0,31.700000000000003
55,5,10,Omen,Controller,19.0,17.0,6.0,2.0,1.0,0,0,137.0,30.200000000000003
53,5,10,Sova,Initiator,16.0,14.0,4.0,2.0,3.0,0,0,119.0,23.9
9,5,10,Kayo,Unknown,14.0,17.0,17.0,3.0,2.0,0,0,113.0,29.3
34,5,10,Neon,Duelist,16.0,16.0,6.0,2.0,6.0,0,0,104.0,19.4
24,5,10,Kayo,Unknown,14.0,16.0,17.0,2.0,2.0,0,0,131.0,29.6
48,5,10,Sova,Initiator,15.0,14.0,13.0,0.0,0.0,1,0,142.0,30.700000000000003
